,mgCST
MG_1062201159,mgCST 9
MG_1062201199,mgCST 9
MG_1062201239,mgCST 9
MG_1062201329,mgCST 9
MG_1062201379,mgCST 9
MG_1062501159,mgCST 9
MG_1062501199,mgCST 9
MG_1062501239,mgCST 9
MG_1062501279,mgCST 9
MG_1062501369,mgCST 1
MG_1063001159,mgCST 9
MG_1063001239,mgCST 10
MG_1063001279,mgCST 10
MG_1063001329,mgCST 10
MG_1063001369,mgCST 10
MG_1063101119,mgCST 12
MG_1063101199,mgCST 12
MG_1063101279,mgCST 12
MG_1063101369,mgCST 12
MG_1063201159,mgCST 3
MG_1063201209,mgCST 3
MG_1063201249,mgCST 3
MG_1063201329,mgCST 3
MG_1063201369,mgCST 3
MG_1063601119,mgCST 10
MG_1063601179,mgCST 10
MG_1063601319,mgCST 10
MG_1063601359,mgCST 10
MG_1085RFLQV1,mgCST 11
MG_1086RFLQV1,mgCST 10
MG_1116RFLQV1,mgCST 10
MG_112477,mgCST 24
MG_112541,mgCST 24
MG_112597,mgCST 22
MG_112797,mgCST 23
MG_112861,mgCST 23
MG_112917,mgCST 23
MG_113289,mgCST 5
MG_113357,mgCST 5
MG_113597,mgCST 24
MG_113633,mgCST 10
MG_113717,mgCST 3
MG_113757,mgCST 18
MG_113853,mgCST 3
MG_114069,mgCST 22
MG_114141,mgCST 10
MG_114193,mgCST 22
MG_114717,mgCST 3
MG_114765,mgCST 3
MG_114845,mgCST 22
MG_1167RFLQV1,mgCST 8
MG_1213RFLQV1,mgCST 11
MG_1215RFLQV1,mgCST 15
MG_1238RPAPV1A1,mgCST 16
MG_1269RFLQV1,mgCST 9
MG_1286RFLQV1,mgCST 10
MG_1319RFLQV1,mgCST 16
MG_1327RFLQV1,mgCST 17
MG_1333RFLQV1,mgCST 19
MG_1368RFLQV1,mgCST 26
MG_1386RFLQV1,mgCST 19
MG_1392RFLQV1,mgCST 11
MG_1416RFLQV1,mgCST 20
MG_1425RFLQV1,mgCST 20
MG_1429RFLQV1,mgCST 14
MG_1430RFLQV1,mgCST 18
MG_1431RFLQV1,mgCST 9
MG_1469RFLQV1,mgCST 16
MG_1494RFLQV1,mgCST 19
MG_1540RFLQV1,mgCST 9
MG_1546RFLQV1,mgCST 11
MG_1567RFLQV1,mgCST 18
MG_1578RFLQV1,mgCST 11
MG_1588RFLQV1,mgCST 10
MG_1601RFLQV1,mgCST 20
MG_1618RFLQV1,mgCST 20
MG_1665RFLQV1,mgCST 7
MG_1696RFLQV1,mgCST 1
MG_1713RFLQV1,mgCST 11
MG_1721RFLQV1,mgCST 14
MG_1727RFLQV1,mgCST 19
MG_174564,mgCST 4
MG_174566,mgCST 4
MG_174616,mgCST 4
MG_174631b,mgCST 4
MG_174708,mgCST 4
MG_174722,mgCST 22
MG_174738,mgCST 20
MG_174758,mgCST 10
MG_174947,mgCST 1
MG_174962,mgCST 11
MG_174970,mgCST 9
MG_174982,mgCST 1
MG_175034,mgCST 11
MG_175058,mgCST 18
MG_175074,mgCST 11
MG_175228,mgCST 9
MG_175260,mgCST 9
MG_175318,mgCST 18
MG_175332,mgCST 18
MG_175334b,mgCST 18
MG_175380,mgCST 10
MG_175390,mgCST 10
MG_175414,mgCST 11
MG_175443,mgCST 10
MG_175476,mgCST 10
MG_175831b,mgCST 20
MG_175836,mgCST 20
MG_175878,mgCST 1
MG_175896,mgCST 1
MG_175980,mgCST 1
MG_176020,mgCST 8
MG_176076,mgCST 8
MG_176094,mgCST 8
MG_176118,mgCST 8
MG_176138,mgCST 8
MG_176541,mgCST 20
MG_176565,mgCST 26
MG_176573,mgCST 1
MG_176621,mgCST 1
MG_176621_b,mgCST 1
MG_176747,mgCST 20
MG_176795,mgCST 20
MG_176862,mgCST 11
MG_176873,mgCST 11
MG_176887,mgCST 11
MG_177065,mgCST 20
MG_177093,mgCST 20
MG_177129,mgCST 20
MG_177177,mgCST 20
MG_177694,mgCST 16
MG_177707,mgCST 16
MG_177750,mgCST 16
MG_177783,mgCST 16
MG_177847,mgCST 16
MG_177853,mgCST 18
MG_177877,mgCST 18
MG_177883,mgCST 18
MG_177897,mgCST 20
MG_177947,mgCST 18
MG_178085,mgCST 20
MG_178113_b,mgCST 16
MG_178137_b,mgCST 26
MG_178333,mgCST 21
MG_178381,mgCST 22
MG_178553,mgCST 11
MG_178585,mgCST 20
MG_178625,mgCST 20
MG_178839,mgCST 3
MG_178903,mgCST 20
MG_178955,mgCST 13
MG_179165,mgCST 23
MG_179189,mgCST 22
MG_179205,mgCST 23
MG_179229,mgCST 23
MG_181071,mgCST 4
MG_181081,mgCST 4
MG_181105,mgCST 4
MG_181135,mgCST 4
MG_181145,mgCST 4
MG_181153,mgCST 20
MG_181177,mgCST 3
MG_181185,mgCST 11
MG_181198,mgCST 3
MG_1811RFLQV1,mgCST 22
MG_181230,mgCST 20
MG_181238,mgCST 20
MG_181246,mgCST 20
MG_181261,mgCST 20
MG_1814RFLQV1,mgCST 10
MG_181597,mgCST 11
MG_181629,mgCST 19
MG_181657,mgCST 18
MG_181711,mgCST 18
MG_181775,mgCST 18
MG_181819,mgCST 10
MG_181871,mgCST 10
MG_181935,mgCST 10
MG_182339,mgCST 9
MG_182427,mgCST 1
MG_182447,mgCST 1
MG_1831RFLQV1,mgCST 1
MG_183668,mgCST 1
MG_183700,mgCST 3
MG_183757,mgCST 4
MG_183805,mgCST 4
MG_1850RFLQV1,mgCST 22
MG_185190,mgCST 16
MG_185218,mgCST 16
MG_185238,mgCST 16
MG_185251,mgCST 16
MG_185275,mgCST 26
MG_185347,mgCST 18
MG_185395,mgCST 21
MG_185475,mgCST 18
MG_186304,mgCST 3
MG_186360,mgCST 20
MG_186424,mgCST 8
MG_186472,mgCST 22
MG_186552,mgCST 22
MG_186655,mgCST 17
MG_186711,mgCST 17
MG_186783,mgCST 17
MG_186830b,mgCST 17
MG_186847,mgCST 17
MG_186854,mgCST 17
MG_186885,mgCST 17
MG_186911,mgCST 17
MG_187184,mgCST 26
MG_187220,mgCST 26
MG_187252,mgCST 11
MG_187377,mgCST 8
MG_187405,mgCST 8
MG_187469,mgCST 20
MG_187757,mgCST 16
MG_188156,mgCST 11
MG_188249,mgCST 26
MG_188297,mgCST 26
MG_188537,mgCST 20
MG_188613,mgCST 20
MG_1890RFLQV1,mgCST 18
MG_189407,mgCST 16
MG_189534,mgCST 26
MG_189598,mgCST 15
MG_189662,mgCST 15
MG_189739,mgCST 20
MG_189760,mgCST 26
MG_189771,mgCST 26
MG_190344,mgCST 3
MG_190788,mgCST 3
MG_190852,mgCST 3
MG_191387,mgCST 11
MG_191407,mgCST 20
MG_191495,mgCST 9
MG_191686,mgCST 18
MG_191690,mgCST 18
MG_191734,mgCST 10
MG_1921RFLQV1,mgCST 15
MG_192430,mgCST 23
MG_192484,mgCST 23
MG_192494,mgCST 23
MG_192512,mgCST 26
MG_192540,mgCST 23
MG_192558,mgCST 23
MG_192622,mgCST 23
MG_192686,mgCST 23
MG_193122b,mgCST 3
MG_193170,mgCST 3
MG_193494,mgCST 22
MG_193518,mgCST 22
MG_193537,mgCST 22
MG_193549,mgCST 22
MG_193573_b,mgCST 22
MG_193837b,mgCST 17
MG_193866,mgCST 17
MG_193884,mgCST 17
MG_193930,mgCST 17
MG_193970,mgCST 1
MG_194058,mgCST 22
MG_194122,mgCST 17
MG_194227,mgCST 1
MG_194255,mgCST 1
MG_194275,mgCST 1
MG_194714,mgCST 15
MG_194735b,mgCST 15
MG_194758,mgCST 15
MG_194945,mgCST 24
MG_194993,mgCST 20
MG_195290,mgCST 24
MG_195374,mgCST 20
MG_195430,mgCST 8
MG_195506,mgCST 24
MG_195566,mgCST 24
MG_195672,mgCST 18
MG_195711,mgCST 18
MG_195739,mgCST 18
MG_195767,mgCST 10
MG_195843,mgCST 10
MG_195891,mgCST 10
MG_195939,mgCST 18
MG_196356,mgCST 15
MG_196401,mgCST 18
MG_197067,mgCST 10
MG_197078,mgCST 10
MG_197099,mgCST 15
MG_198165,mgCST 20
MG_198203,mgCST 18
MG_198223,mgCST 18
MG_198237,mgCST 18
MG_198279,mgCST 18
MG_198301,mgCST 18
MG_198365,mgCST 18
MG_198437,mgCST 20
MG_199095,mgCST 3
MG_199147,mgCST 25
MG_199199,mgCST 26
MG_1992RFLQV1,mgCST 20
MG_199350,mgCST 18
MG_199358,mgCST 18
MG_1993RFLQV1,mgCST 15
MG_199414,mgCST 18
MG_199723,mgCST 10
MG_199743,mgCST 18
MG_199767b,mgCST 10
MG_200714,mgCST 9
MG_200766,mgCST 10
MG_200771,mgCST 10
MG_2009001159,mgCST 8
MG_2009001209,mgCST 8
MG_2009001269,mgCST 8
MG_2009001309,mgCST 8
MG_2009001379,mgCST 8
MG_200930,mgCST 21
MG_200942,mgCST 20
MG_200966,mgCST 21
MG_202050,mgCST 17
MG_202098,mgCST 18
MG_202828,mgCST 11
MG_202852,mgCST 11
MG_202872,mgCST 11
MG_203059,mgCST 20
MG_203077,mgCST 16
MG_203101,mgCST 20
MG_203123,mgCST 20
MG_203125,mgCST 20
MG_203187,mgCST 20
MG_203251,mgCST 20
MG_203323,mgCST 20
MG_203703,mgCST 3
MG_203751,mgCST 26
MG_205081,mgCST 20
MG_205117,mgCST 20
MG_205183,mgCST 20
MG_205209,mgCST 20
MG_205223,mgCST 20
MG_205243,mgCST 20
MG_205281,mgCST 20
MG_205311,mgCST 20
MG_205335,mgCST 20
MG_205337,mgCST 20
MG_205367,mgCST 20
MG_205763,mgCST 19
MG_205819,mgCST 16
MG_205915,mgCST 19
MG_205939,mgCST 19
MG_206015,mgCST 26
MG_206737,mgCST 19
MG_206752,mgCST 19
MG_206776,mgCST 19
MG_206786,mgCST 19
MG_206830,mgCST 19
MG_206894,mgCST 19
MG_206958,mgCST 11
MG_207030,mgCST 18
MG_208096,mgCST 9
MG_208120,mgCST 9
MG_208144,mgCST 26
MG_208168,mgCST 9
MG_208192,mgCST 9
MG_208442,mgCST 9
MG_208465,mgCST 9
MG_208485,mgCST 9
MG_208759,mgCST 10
MG_208792,mgCST 26
MG_208806,mgCST 21
MG_208856,mgCST 11
MG_208920,mgCST 11
MG_208972,mgCST 11
MG_209048,mgCST 11
MG_209436,mgCST 5
MG_209480,mgCST 5
MG_209873,mgCST 18
MG_209897,mgCST 15
MG_209933,mgCST 15
MG_20_00135_05,mgCST 9
MG_20_00144_05,mgCST 1
MG_20_00145_05,mgCST 6
MG_20_00182_05B,mgCST 1
MG_20_00218_05,mgCST 1
MG_20_00835_05,mgCST 6
MG_20_00850_05,mgCST 10
MG_20_00857_05,mgCST 1
MG_20_00860_05,mgCST 4
MG_20_00880_05,mgCST 1
MG_20_00889_05,mgCST 11
MG_20_00891_05,mgCST 9
MG_20_00897_05,mgCST 6
MG_20_00905_05,mgCST 1
MG_20_00908_05,mgCST 6
MG_20_00911_05,mgCST 6
MG_20_00918_05,mgCST 1
MG_20_01129_05,mgCST 10
MG_20_01134_05,mgCST 21
MG_20_01147_05,mgCST 3
MG_20_01149_05,mgCST 9
MG_20_01151_05,mgCST 1
MG_20_01167_05,mgCST 6
MG_20_01168_05,mgCST 19
MG_20_01175_05,mgCST 4
MG_20_01181_05,mgCST 12
MG_20_01962_05,mgCST 1
MG_20_02009_05,mgCST 1
MG_20_02044_05,mgCST 6
MG_20_02090_05,mgCST 10
MG_20_02097_05,mgCST 18
MG_20_02213_05,mgCST 10
MG_20_02219_05,mgCST 1
MG_20_02225_05,mgCST 6
MG_20_02249_05,mgCST 26
MG_20_02251_05,mgCST 1
MG_20_02283_05,mgCST 9
MG_20_02288_05,mgCST 9
MG_20_02836_05,mgCST 15
MG_20_02843_05,mgCST 11
MG_20_02860_05,mgCST 6
MG_20_02863_05,mgCST 1
MG_20_02882_05,mgCST 11
MG_20_02886_05,mgCST 10
MG_20_02909_05,mgCST 9
MG_20_02916_05,mgCST 1
MG_20_02922_05,mgCST 1
MG_20_02944_05,mgCST 1
MG_20_02947_05,mgCST 11
MG_20_02950_05,mgCST 9
MG_20_02981_05,mgCST 19
MG_20_02985_05,mgCST 1
MG_20_02992_05,mgCST 9
MG_20_03024_05,mgCST 4
MG_20_03216_05,mgCST 9
MG_20_03231_05,mgCST 11
MG_20_03235_05,mgCST 11
MG_20_03299_05,mgCST 6
MG_20_03315_05,mgCST 11
MG_20_03329_05,mgCST 9
MG_20_03344_05,mgCST 11
MG_20_03360_05,mgCST 9
MG_20_03395_05,mgCST 9
MG_20_20057_05B,mgCST 10
MG_20_20061_05,mgCST 18
MG_20_20097_05,mgCST 26
MG_20_20114_05,mgCST 9
MG_20_20133_05,mgCST 6
MG_20_20554_05,mgCST 11
MG_20_20583_05,mgCST 9
MG_20_20626_05,mgCST 5
MG_20_20651_05,mgCST 4
MG_20_20668_05,mgCST 2
MG_20_20670_05,mgCST 6
MG_20_20671_05,mgCST 1
MG_20_20681_05,mgCST 9
MG_20_21179_05,mgCST 1
MG_20_21193_05,mgCST 11
MG_20_21221_05,mgCST 6
MG_20_21249_05,mgCST 9
MG_20_21250_05,mgCST 9
MG_20_21458_05,mgCST 10
MG_20_21469_05,mgCST 6
MG_20_21496_05,mgCST 26
MG_20_21528_05,mgCST 1
MG_20_21536_05,mgCST 6
MG_20_21552_05,mgCST 10
MG_20_21568_05,mgCST 1
MG_20_21569_05,mgCST 9
MG_20_21652_05,mgCST 10
MG_20_21704_05,mgCST 15
MG_20_22432_05,mgCST 26
MG_20_22461_05,mgCST 10
MG_20_22498_05,mgCST 9
MG_20_22636_05,mgCST 20
MG_20_22645_05,mgCST 6
MG_20_22647_05,mgCST 6
MG_20_22693_05,mgCST 26
MG_20_22726_05,mgCST 9
MG_20_22745_05,mgCST 17
MG_20_22752_05,mgCST 10
MG_20_22792_05,mgCST 6
MG_20_22795_05,mgCST 5
MG_20_22796_05,mgCST 11
MG_20_23527_05,mgCST 11
MG_20_24069_05,mgCST 1
MG_20_24077_05,mgCST 1
MG_20_24098_05,mgCST 20
MG_20_24174_05,mgCST 10
MG_20_24187_05,mgCST 1
MG_20_24190_05,mgCST 20
MG_20_24195_05,mgCST 11
MG_20_24196_05,mgCST 20
MG_20_24213_05,mgCST 6
MG_20_24937_05,mgCST 1
MG_20_24945_05,mgCST 1
MG_20_25060_05,mgCST 2
MG_20_25067_05,mgCST 9
MG_20_25076_05,mgCST 21
MG_20_25123_05,mgCST 9
MG_20_25344_05,mgCST 20
MG_20_25347_05,mgCST 11
MG_20_25715_05,mgCST 1
MG_20_26056_05,mgCST 17
MG_20_26067_05,mgCST 1
MG_20_26117_05,mgCST 4
MG_20_26241_05,mgCST 10
MG_20_26264_05,mgCST 17
MG_20_26296_05,mgCST 4
MG_20_26661_05,mgCST 3
MG_20_26662_05,mgCST 11
MG_20_26674_05,mgCST 6
MG_20_26723_05,mgCST 9
MG_20_26747_05,mgCST 4
MG_20_26801_05,mgCST 11
MG_20_26808_05,mgCST 11
MG_20_27473_05,mgCST 10
MG_20_27508_05,mgCST 9
MG_20_27513_05,mgCST 18
MG_20_27526_05,mgCST 1
MG_20_27535_05,mgCST 9
MG_20_27789_05,mgCST 12
MG_20_27798_05,mgCST 1
MG_20_27827_05,mgCST 9
MG_20_28082_05,mgCST 9
MG_20_28103_05,mgCST 1
MG_20_28256_05,mgCST 1
MG_20_28272_05,mgCST 1
MG_20_28273_05,mgCST 4
MG_20_28289_05,mgCST 26
MG_20_28306_05,mgCST 11
MG_20_28332_05,mgCST 11
MG_20_28568_05,mgCST 11
MG_20_28585_05,mgCST 20
MG_20_28603_05,mgCST 6
MG_20_28604_05,mgCST 11
MG_20_28642_05,mgCST 1
MG_20_28852_05,mgCST 12
MG_20_28859_05,mgCST 3
MG_20_28861_05,mgCST 10
MG_20_28919_05,mgCST 19
MG_20_28938_05,mgCST 1
MG_20_28941_05,mgCST 26
MG_20_29154_05,mgCST 20
MG_20_29187_05,mgCST 11
MG_20_29208_05,mgCST 4
MG_20_29237_05,mgCST 15
MG_20_29671_05,mgCST 1
MG_20_29680_05,mgCST 9
MG_20_29702_05,mgCST 2
MG_20_29706_05,mgCST 6
MG_20_29729_05,mgCST 11
MG_20_29775_05,mgCST 6
MG_20_29819_05,mgCST 6
MG_20_29847_05,mgCST 9
MG_20_30157_05,mgCST 11
MG_20_30191_05,mgCST 1
MG_20_30205_05,mgCST 9
MG_20_30211_05,mgCST 11
MG_20_30219_05,mgCST 10
MG_20_30230_05,mgCST 4
MG_20_30293_05,mgCST 20
MG_20_30326_05,mgCST 9
MG_20_30332_05,mgCST 1
MG_20_30761_05,mgCST 26
MG_20_30764_05,mgCST 6
MG_20_30765_05,mgCST 1
MG_20_30766_05,mgCST 6
MG_20_30768_05,mgCST 2
MG_20_30777_05,mgCST 9
MG_20_30794_05,mgCST 2
MG_20_30812_05,mgCST 9
MG_20_31340_05,mgCST 1
MG_20_31354_05,mgCST 9
MG_20_31359_05,mgCST 6
MG_20_31372_05,mgCST 2
MG_20_31380_05,mgCST 11
MG_20_31402_05B,mgCST 9
MG_20_31418_05,mgCST 21
MG_20_31427_05,mgCST 1
MG_20_31449_05,mgCST 12
MG_20_31823_05,mgCST 6
MG_20_31843_05,mgCST 2
MG_20_31867_05,mgCST 9
MG_20_31874_05,mgCST 9
MG_20_31894_05,mgCST 26
MG_20_32224_05,mgCST 1
MG_20_32246_05,mgCST 19
MG_20_32284_05,mgCST 9
MG_20_32308_05,mgCST 26
MG_20_32380_05,mgCST 6
MG_20_32703_05,mgCST 3
MG_20_32729_05,mgCST 10
MG_20_32780_05,mgCST 26
MG_20_32784_05,mgCST 6
MG_20_32789_05,mgCST 11
MG_20_33063_05,mgCST 1
MG_20_33136_05,mgCST 6
MG_20_33278_05,mgCST 11
MG_20_33286_05,mgCST 9
MG_20_33341_05,mgCST 17
MG_20_33954_05,mgCST 12
MG_20_33961_05,mgCST 11
MG_20_34036_05,mgCST 2
MG_20_34061_05,mgCST 1
MG_20_34129_05,mgCST 9
MG_20_34639_05,mgCST 9
MG_20_34686_05,mgCST 1
MG_20_34693_05,mgCST 1
MG_20_35051_05B,mgCST 1
MG_20_35092_05,mgCST 6
MG_20_35147_05,mgCST 1
MG_20_35226_05,mgCST 17
MG_20_35305_05,mgCST 1
MG_20_35309_05,mgCST 1
MG_20_35319_05,mgCST 11
MG_20_35324_05,mgCST 10
MG_20_35346_05,mgCST 6
MG_20_35903_05,mgCST 10
MG_20_35904_05,mgCST 6
MG_20_35927_05,mgCST 10
MG_20_35948_05,mgCST 1
MG_20_36002_05,mgCST 15
MG_20_36046_05,mgCST 9
MG_20_36068_05,mgCST 2
MG_20_36081_05,mgCST 9
MG_20_36085_05,mgCST 19
MG_20_36087_05,mgCST 1
MG_20_36096_05,mgCST 9
MG_20_36105_05,mgCST 20
MG_20_36233_05,mgCST 5
MG_20_36901_05,mgCST 2
MG_20_36933_05,mgCST 11
MG_20_37690_05,mgCST 19
MG_20_37725_05,mgCST 17
MG_20_37735_05,mgCST 11
MG_20_37775_05,mgCST 1
MG_20_37803_05,mgCST 15
MG_20_37806_05,mgCST 9
MG_20_37807_05,mgCST 6
MG_20_38469_05,mgCST 20
MG_20_38531_05,mgCST 5
MG_20_38613_05,mgCST 9
MG_20_38654_05,mgCST 21
MG_20_38705_05,mgCST 6
MG_20_38712_05,mgCST 11
MG_20_38716_05,mgCST 6
MG_20_38719_05,mgCST 4
MG_20_38749_05,mgCST 20
MG_20_39707_05,mgCST 1
MG_20_39711_05,mgCST 5
MG_20_39722_05,mgCST 9
MG_20_39743_05,mgCST 6
MG_20_39772_05,mgCST 2
MG_20_39787_05,mgCST 1
MG_20_39868_05,mgCST 1
MG_20_39899_05,mgCST 9
MG_20_39900_05,mgCST 9
MG_20_39913_05,mgCST 26
MG_20_40708_05,mgCST 5
MG_20_40725_05,mgCST 4
MG_20_40741_05,mgCST 9
MG_20_40757_05,mgCST 10
MG_20_40767_05,mgCST 9
MG_20_40768_05,mgCST 9
MG_20_40772_05,mgCST 1
MG_20_40779_05,mgCST 10
MG_20_40786_05,mgCST 1
MG_20_40789_05,mgCST 2
MG_20_40797_05,mgCST 6
MG_20_40798_05,mgCST 9
MG_20_40800_05,mgCST 9
MG_20_40905_05,mgCST 2
MG_20_40913_05,mgCST 9
MG_20_40916_05,mgCST 10
MG_20_40927_05,mgCST 6
MG_20_40942_05,mgCST 1
MG_20_40943_05,mgCST 9
MG_20_40945_05,mgCST 1
MG_20_40946_05,mgCST 5
MG_20_40947_05,mgCST 1
MG_20_40948_05,mgCST 10
MG_20_40954_05,mgCST 6
MG_20_40956_05,mgCST 10
MG_20_40959_05,mgCST 6
MG_20_40960_05,mgCST 6
MG_20_40967_05,mgCST 9
MG_20_40971_05,mgCST 10
MG_20_40972_05,mgCST 6
MG_20_40973_05,mgCST 4
MG_20_40978_05,mgCST 1
MG_20_40980_05,mgCST 9
MG_20_40982_05,mgCST 19
MG_20_40983_05,mgCST 9
MG_20_40984_05,mgCST 5
MG_20_40985_05,mgCST 5
MG_20_40986_05,mgCST 15
MG_20_40991_05,mgCST 6
MG_20_40993_05,mgCST 1
MG_20_41201_05,mgCST 1
MG_20_41204_05,mgCST 1
MG_20_41213_05,mgCST 1
MG_20_41220_05,mgCST 1
MG_20_41234_05,mgCST 9
MG_20_41236_05,mgCST 1
MG_20_41239_05,mgCST 9
MG_20_41262_05,mgCST 20
MG_20_41267_05,mgCST 9
MG_20_41284_05,mgCST 9
MG_20_41294_05,mgCST 1
MG_20_41853_05,mgCST 1
MG_20_41865_05,mgCST 10
MG_20_41867_05,mgCST 11
MG_20_41889_05,mgCST 17
MG_20_41890_05,mgCST 9
MG_20_41898_05,mgCST 9
MG_20_41900_05,mgCST 6
MG_20_41914_05,mgCST 9
MG_20_41921_05,mgCST 9
MG_20_41959_05,mgCST 9
MG_20_41995_05,mgCST 10
MG_20_42030_05,mgCST 9
MG_20_42166_05,mgCST 9
MG_20_42222_05,mgCST 10
MG_20_42229_05,mgCST 1
MG_20_43053_05,mgCST 17
MG_20_43066_05,mgCST 11
MG_20_43070_05,mgCST 11
MG_20_43080_05,mgCST 1
MG_20_43105_05,mgCST 9
MG_20_43120_05,mgCST 20
MG_20_43167_05,mgCST 6
MG_20_43225_05,mgCST 6
MG_20_43253_05,mgCST 1
MG_20_43280_05,mgCST 1
MG_20_43288_05,mgCST 9
MG_20_43327_05,mgCST 11
MG_20_44202_05,mgCST 6
MG_20_44227_05,mgCST 11
MG_20_44231_05,mgCST 1
MG_20_44240_05,mgCST 17
MG_20_44250_05,mgCST 20
MG_20_44315_05,mgCST 19
MG_20_44318_05,mgCST 21
MG_20_44367_05,mgCST 1
MG_20_44374_05,mgCST 26
MG_20_44393_05,mgCST 9
MG_20_44405_05,mgCST 6
MG_20_44467_05,mgCST 1
MG_20_44907_05,mgCST 6
MG_20_44911_05,mgCST 3
MG_20_44961_05,mgCST 9
MG_20_45461_05,mgCST 9
MG_20_45464_05,mgCST 1
MG_20_45477_05,mgCST 1
MG_20_45479_05,mgCST 22
MG_20_45487_05,mgCST 6
MG_20_45509_05,mgCST 1
MG_20_45514_05,mgCST 6
MG_20_45558_05,mgCST 26
MG_20_45560_05,mgCST 26
MG_20_45600_05,mgCST 10
MG_20_46742_05,mgCST 9
MG_20_46895_05,mgCST 10
MG_20_46900_05,mgCST 6
MG_20_46924_05,mgCST 11
MG_20_46936_05,mgCST 9
MG_20_46937_05,mgCST 1
MG_20_46949_05,mgCST 6
MG_20_46985_05,mgCST 9
MG_20_47015_05,mgCST 12
MG_20_47027_05,mgCST 1
MG_20_47033_05B,mgCST 9
MG_20_47036_05,mgCST 9
MG_20_47049_05,mgCST 9
MG_20_47899_05,mgCST 9
MG_20_47928_05,mgCST 9
MG_20_47955_05,mgCST 17
MG_20_47959_05,mgCST 10
MG_20_48023_05,mgCST 17
MG_20_48033_05,mgCST 9
MG_20_48093_05,mgCST 1
